time,force,other
1748000239.223513,0.000000,""
1748000239.243868,0.000000,""
1748000239.265205,0.000000,""
1748000239.285408,0.000000,""
1748000239.304835,0.000000,""
1748000239.324685,0.000000,""
1748000239.344738,0.000000,""
1748000239.365228,0.000000,""
1748000239.385302,0.000000,""
1748000239.403947,0.000000,""
1748000239.424757,0.000000,""
1748000239.445376,0.000000,""
1748000239.465409,0.000000,""
1748000239.484664,0.000000,""
1748000239.504833,0.000000,""
1748000239.525560,0.000000,""
1748000239.544119,0.000000,""
1748000239.564877,,"TRIG"
1748000239.625332,0.000000,""
1748000239.704153,0.000000,""
1748000239.785096,0.000000,""
1748000239.885021,0.000000,""
1748000239.965273,0.000000,""
1748000240.064725,0.980665,""
1748000240.147655,0.980665,""
1748000240.224345,7.845320,""
1748000240.325139,39.226600,""
1748000240.405780,84.337190,""
1748000240.505577,109.834480,""
1748000240.585832,115.718470,""
1748000240.664978,93.163175,""
1748000240.764861,45.110590,""
1748000240.844150,9.806650,""
1748000240.924938,-0.000000,""
1748000241.025000,-1.961330,""
1748000241.105492,-1.961330,""
1748000241.125748,,"TRIG"
1748000241.205386,-1.961330,""
1748000241.285463,-1.961330,""
1748000241.365424,-1.961330,""
1748000241.464948,-1.961330,""
1748000241.545316,-0.980665,""
1748000241.625193,8.825985,""
1748000241.724235,51.975245,""
1748000241.805509,97.085835,""
1748000241.905635,108.853815,""
1748000241.985717,105.911820,""
1748000242.065187,88.259850,""
1748000242.164405,56.878570,""
1748000242.244131,20.593965,""
1748000242.324798,2.941995,""
1748000242.425783,-0.980665,""
1748000242.505096,-1.961330,""
1748000242.605738,-1.961330,""
1748000242.685476,-1.961330,""
1748000242.706194,,"TRIG"
1748000242.764733,-1.961330,""
1748000242.865253,-0.980665,""
1748000242.945111,-0.980665,""
1748000243.024543,2.941995,""
1748000243.124921,21.574630,""
1748000243.204884,69.627215,""
1748000243.304830,95.124505,""
1748000243.385846,90.221180,""
1748000243.465238,86.298520,""
1748000243.565058,82.375860,""
1748000243.644093,75.511205,""
1748000243.724906,49.033250,""
1748000243.825323,13.729310,""
1748000243.904941,-0.000000,""
1748000244.004158,-1.961330,""
1748000244.084481,-1.961330,""
1748000244.164507,-1.961330,""
1748000244.264969,,"TRIG"
1748000244.284907,-1.961330,""
1748000244.344235,-1.961330,""
1748000244.444832,-1.961330,""
1748000244.524677,-0.980665,""
1748000244.605090,-0.000000,""
1748000244.705648,12.748645,""
1748000244.784209,51.975245,""
1748000244.865608,74.530540,""
1748000244.965592,72.569210,""
1748000245.045586,77.472535,""
1748000245.145465,82.375860,""
1748000245.224731,87.279185,""
1748000245.305239,90.221180,""
1748000245.405234,82.375860,""
1748000245.484893,51.975245,""
1748000245.564735,13.729310,""
1748000245.665246,0.000000,""
1748000245.744979,-0.980665,""
1748000245.844997,-1.961330,""
1748000245.865405,,"TRIG"
1748000245.924761,-1.961330,""
1748000246.004798,-1.961330,""
1748000246.105001,-1.961330,""
1748000246.184828,-1.961330,""
1748000246.283814,-1.961330,""
1748000246.364793,9.806650,""
1748000246.444031,53.936575,""
1748000246.543715,94.143840,""
1748000246.624891,108.853815,""
1748000246.705660,113.757140,""
1748000246.804999,120.621795,""
1748000246.885141,125.525120,""
1748000246.985347,118.660465,""
1748000247.065584,76.491870,""
1748000247.145068,23.535960,""
1748000247.245101,1.961330,""
1748000247.324838,-0.980665,""
1748000247.426176,,"TRIG"
1748000247.444968,-1.961330,""
1748000247.505026,-1.961330,""
1748000247.585468,-1.961330,""
1748000247.685635,-0.980665,""
1748000247.764463,-0.980665,""
1748000247.845158,0.000000,""
1748000247.948286,24.516625,""
1748000248.024573,83.356525,""
1748000248.107000,116.699135,""
1748000248.205356,119.641130,""
1748000248.285345,121.602460,""
1748000248.385364,126.505785,""
1748000248.464318,116.699135,""
1748000248.545728,77.472535,""
1748000248.644847,24.516625,""
1748000248.725211,0.980665,""
1748000248.805208,-1.961330,""
1748000248.905402,-1.961330,""
1748000248.965869,,"TRIG"
1748000248.984232,-1.961330,""
1748000249.085001,-1.961330,""
1748000249.164408,-1.961330,""
1748000249.244008,-1.961330,""
1748000249.345467,-1.961330,""
1748000249.424477,-0.980665,""
1748000249.504274,14.709975,""
1748000249.605466,61.781895,""
1748000249.685625,100.027830,""
1748000249.784265,110.815145,""
1748000249.865169,113.757140,""
1748000249.945596,113.757140,""
1748000250.044748,108.853815,""
1748000250.125431,95.124505,""
1748000250.205376,54.917240,""
1748000250.304458,12.748645,""
1748000250.383970,-0.980665,""
1748000250.484776,-1.961330,""
1748000250.545645,,"TRIG"
1748000250.564398,-1.961330,""
1748000250.645212,-1.961330,""
1748000250.744304,-1.961330,""
1748000250.824228,-1.961330,""
1748000250.924943,-1.961330,""
1748000251.004894,0.980665,""
1748000251.085298,22.555295,""
1748000251.184924,64.723890,""
1748000251.264714,86.298520,""
1748000251.345108,87.279185,""
1748000251.443957,85.317855,""
1748000251.525214,79.433865,""
1748000251.625431,84.337190,""
1748000251.705279,93.163175,""
1748000251.784498,92.182510,""
1748000251.884918,71.588545,""
1748000251.964366,32.361945,""
1748000252.045118,4.903325,""
1748000252.105158,,"TRIG"
1748000252.144318,-1.961330,""
1748000252.224211,-1.961330,""
1748000252.323865,-1.961330,""
1748000252.404146,-1.961330,""
1748000252.484100,-1.961330,""
1748000252.585249,-1.961330,""
1748000252.665696,-1.961330,""
1748000252.765101,-1.961330,""
