time,force,other
1732626077.909541,2.100000,""
1732626077.979542,1.800000,""
1732626078.069541,1.200000,""
1732626078.159542,8.700000,""
1732626078.259542,16.400000,""
1732626078.349542,18.200000,""
1732626078.439542,18.700000,""
1732626078.509542,18.600000,""
1732626078.599542,14.600000,""
1732626078.689542,6.300000,""
1732626078.789542,3.400000,""
1732626078.879543,2.200000,""
1732626078.969543,1.600000,""
1732626079.039543,1.500000,""
1732626079.129543,1.600000,""
1732626079.219543,1.600000,""
1732626079.319543,1.700000,""
1732626079.349543,,"TRIG"
1732626079.409544,2.000000,""
1732626079.469543,2.500000,""
1732626079.569544,2.000000,""
1732626079.659544,1.700000,""
1732626079.749544,10.100000,""
1732626079.819544,17.500000,""
1732626079.909544,18.900000,""
1732626079.999544,19.200000,""
1732626080.099544,20.600000,""
1732626080.189544,15.600000,""
1732626080.279545,4.600000,""
1732626080.349545,1.900000,""
1732626080.439545,1.600000,""
1732626080.529545,1.700000,""
1732626080.629545,1.800000,""
1732626080.719545,2.000000,""
1732626080.819545,2.200000,""
1732626080.879545,2.300000,""
1732626080.909545,,"TRIG"
1732626080.969546,2.500000,""
1732626081.059546,2.600000,""
1732626081.159546,1.900000,""
1732626081.219546,0.500000,""
1732626081.309546,8.000000,""
1732626081.409546,16.100000,""
1732626081.499546,17.900000,""
1732626081.599546,18.200000,""
1732626081.659547,17.600000,""
1732626081.749547,12.700000,""
1732626081.839547,5.100000,""
1732626081.939547,2.700000,""
1732626082.029547,2.600000,""
1732626082.129547,2.500000,""
1732626082.189547,2.400000,""
1732626082.279547,2.300000,""
1732626082.379547,2.200000,""
1732626082.469548,2.300000,""
1732626082.499548,,"TRIG"
1732626082.559548,2.600000,""
1732626082.659548,3.500000,""
1732626082.719548,2.700000,""
1732626082.809548,2.500000,""
1732626082.909548,12.400000,""
1732626082.999548,18.500000,""
1732626083.059548,19.300000,""
1732626083.159549,19.500000,""
1732626083.249549,18.800000,""
1732626083.339549,12.400000,""
1732626083.439549,3.200000,""
1732626083.499549,1.100000,""
1732626083.589549,2.000000,""
1732626083.689549,2.100000,""
1732626083.779549,1.600000,""
1732626083.869550,1.500000,""
1732626083.939550,1.500000,""
1732626084.059550,1.600000,""
1732626084.089550,,"TRIG"
1732626084.119550,1.800000,""
1732626084.219550,1.800000,""
1732626084.309550,0.600000,""
1732626084.399550,0.100000,""
1732626084.469551,9.100000,""
1732626084.559551,17.000000,""
1732626084.649551,18.100000,""
1732626084.749551,17.700000,""
1732626084.839551,16.900000,""
1732626084.899551,11.800000,""
1732626084.999551,5.300000,""
1732626085.089551,3.900000,""
1732626085.179552,3.500000,""
1732626085.249552,3.100000,""
1732626085.339552,2.900000,""
1732626085.429552,3.000000,""
1732626085.529552,3.000000,""
1732626085.619552,3.000000,""
1732626085.649552,,"TRIG"
1732626085.709552,3.200000,""
1732626085.779552,3.600000,""
1732626085.869552,3.400000,""
1732626085.959553,5.200000,""
1732626086.059553,13.800000,""
1732626086.149553,18.900000,""
1732626086.239553,19.500000,""
1732626086.309553,19.000000,""
1732626086.399553,17.200000,""
1732626086.489553,11.300000,""
1732626086.589553,6.400000,""
1732626086.649553,4.500000,""
1732626086.739553,3.500000,""
1732626086.839554,3.400000,""
1732626086.929554,3.500000,""
1732626087.019554,3.400000,""
1732626087.089554,3.300000,""
1732626087.209554,3.400000,""
1732626087.239554,,"TRIG"
1732626087.269554,4.100000,""
1732626087.369555,5.100000,""
1732626087.459555,4.500000,""
1732626087.549555,6.300000,""
1732626087.619555,13.900000,""
1732626087.709555,17.900000,""
1732626087.799555,18.600000,""
1732626087.899555,18.700000,""
1732626087.989555,17.500000,""
1732626088.049556,10.800000,""
1732626088.149556,7.000000,""
1732626088.239556,6.100000,""
1732626088.329556,4.500000,""
1732626088.399556,3.300000,""
1732626088.489556,3.200000,""
1732626088.579556,3.000000,""
1732626088.679556,3.000000,""
1732626088.769557,3.000000,""
1732626088.799556,,"TRIG"
1732626088.859557,3.300000,""
1732626088.929557,4.100000,""
1732626089.019557,4.300000,""
1732626089.109557,6.800000,""
1732626089.209557,14.700000,""
1732626089.299557,18.700000,""
1732626089.399557,19.100000,""
1732626089.459557,18.700000,""
1732626089.549557,15.300000,""
1732626089.639558,8.600000,""
1732626089.739558,3.900000,""
1732626089.799558,3.100000,""
1732626089.889558,3.200000,""
1732626089.989558,3.200000,""
1732626090.079558,3.300000,""
1732626090.179559,3.400000,""
1732626090.239558,3.300000,""
1732626090.359559,3.400000,""
1732626090.389559,,"TRIG"
1732626090.419559,3.700000,""
1732626090.519559,4.300000,""
1732626090.609559,4.600000,""
1732626090.709559,7.800000,""
1732626090.769559,15.800000,""
1732626090.859560,18.600000,""
1732626090.959559,18.600000,""
1732626091.049560,18.400000,""
1732626091.139560,17.000000,""
1732626091.239560,10.900000,""
1732626091.299560,5.800000,""
1732626091.389560,4.500000,""
1732626091.489560,3.800000,""
1732626091.579561,3.100000,""
1732626091.639560,2.800000,""
1732626091.739561,2.600000,""
1732626091.829561,2.700000,""
1732626091.919561,,"TRIG"
1732626091.949561,2.800000,""
1732626092.019561,3.100000,""
1732626092.079561,3.400000,""
1732626092.169561,3.200000,""
1732626092.269561,6.400000,""
1732626092.359561,13.900000,""
1732626092.449562,16.300000,""
1732626092.519562,16.400000,""
1732626092.609562,16.300000,""
1732626092.699562,14.600000,""
1732626092.799562,8.600000,""
1732626092.889562,4.900000,""
1732626092.979563,4.300000,""
1732626093.049563,4.200000,""
1732626093.139563,3.800000,""
1732626093.229563,3.600000,""
1732626093.329563,3.500000,""
1732626093.389563,3.300000,""
1732626093.479563,,"TRIG"
1732626093.509563,3.400000,""
1732626093.579563,3.700000,""
